Team,M,xG,xGA
Liverpool,9,25.49,9.07
Nottingham Forest,11,16.46,15.68
Chelsea,11,23.77,19.08
Arsenal,11,20.73,14.18
Newcastle United,11,19.76,17.82
Bournemouth,10,21.21,16.37
Manchester City,10,16.97,18.25
Fulham,9,14.19,12.24
Brighton,10,13.24,17.34
West Ham,10,13.16,18.93
Tottenham,9,19.44,14.17
Crystal Palace,9,12.99,15.04
Manchester United,10,15.34,17.97
Aston Villa,9,13.06,19.90
Wolverhampton Wanderers,10,9.28,17.55
Ipswich,10,11.59,25.80
Everton,10,9.70,18.15
Brentford,10,14.68,20.35
Leicester,10,10.57,26.32
Southampton,10,9.55,21.76
