Team,M,home_xGA,home_xGA_per_game,Original_Tier,Adjusted_Tier
Arsenal,9,6.23,0.6922222222222223,1,1
Aston Villa,10,8.73,0.873,2,2
Liverpool,9,8.79,0.9766666666666666,3,2
Nottingham Forest,9,9.03,1.0033333333333332,3,2
Fulham,10,11.67,1.167,4,3
Bournemouth,9,10.79,1.198888888888889,5,3
Newcastle United,9,11.03,1.2255555555555555,5,3
Chelsea,9,12.53,1.3922222222222222,6,4
Manchester City,9,12.75,1.4166666666666667,7,4
Brentford,10,14.35,1.435,7,4
Brighton,9,13.09,1.4544444444444444,7,4
Manchester United,10,15.94,1.5939999999999999,8,5
Everton,9,14.89,1.6544444444444446,9,5
Crystal Palace,10,16.76,1.6760000000000002,9,5
Wolverhampton Wanderers,9,15.61,1.7344444444444445,9,5
Tottenham,10,18.18,1.818,9,5
Leicester,9,19.42,2.157777777777778,10,6
West Ham,10,23.05,2.305,11,6
Ipswich,9,21.46,2.3844444444444446,11,6
Southampton,10,26.98,2.698,11,6
